878		P		35160		2413
879		B		35080		2357
880		B		35120		2386
881		P		35280		2184
882		B		35200		3007
883		B		35240		4463
884		P		35400		5054
885		B		35320		2257
886		B		35360		1951
887		I		35520		7327
888		B		35440		2928
889		B		35480		2699
890		P		35640		3729
891		B		35560		1791
892		B		35600		1727
893		P		35760		3204
894		B		35680		2044
895		B		35720		2191
896		P		35880		3642
897		B		35800		1594
898		B		35840		1551
899		I		36000		7329
900		B		35920		1647
901		B		35960		2051
902		P		36120		2580
903		B		36040		1733
904		B		36080		2055
905		P		36240		3327
906		B		36160		1902
907		B		36200		2644
908		P		36360		3913
909		B		36280		1642
910		B		36320		2122
911		I		36480		7312
912		B		36400		2426
913		B		36440		1934
914		P		36600		2616
915		B		36520		3249
916		B		36560		3073
917		P		36720		4246
918		B		36640		2578
919		B		36680		2989
920		P		36840		2275
921		B		36760		1548
922		B		36800		1437
923		I		36960		7330
924		B		36880		2299
925		B		36920		2337
926		P		37080		2539
927		B		37000		1628
928		B		37040		1827
929		P		37200		3357
930		B		37120		1626
931		B		37160		1798
932		P		37320		1989
933		B		37240		1836
934		B		37280		1729
935		I		37440		7385
936		B		37360		2409
937		B		37400		2272
938		P		37560		4259
939		B		37480		1887
940		B		37520		1860
941		P		37680		4142
942		B		37600		1783
943		B		37640		3070
944		P		37800		2321
945		B		37720		2470
946		B		37760		2607
947		I		37920		7307
948		B		37840		1283
949		B		37880		1650
950		P		38040		2121
951		B		37960		1676
952		B		38000		1812
953		P		38160		3013
954		B		38080		1271
955		B		38120		2029
956		P		38280		2517
957		B		38200		1697
958		B		38240		2655
959		I		38400		7383
960		B		38320		1856
961		B		38360		1856
962		P		38520		3618
963		B		38440		3446
964		B		38480		3685
965		P		38640		4489
966		B		38560		1913
967		B		38600		1870
968		P		38760		3456
969		B		38680		2859
970		B		38720		2615
971		I		38880		7405
972		B		38800		4627
973		B		38840		3605
974		P		39000		4283
975		B		38920		1790
976		B		38960		3090
977		P		39120		5284
978		B		39040		2970
979		B		39080		3142
980		P		39240		5307
981		B		39160		2574
982		B		39200		4547
983		I		39360		7292
984		B		39280		4979
985		B		39320		4924
986		P		39480		5708
987		B		39400		4705
988		B		39440		4568
989		P		39600		5644
990		B		39520		4753
991		B		39560		3905
992		P		39720		5777
993		B		39640		4529
994		B		39680		5009
995		I		39840		7404
996		B		39760		4900
997		B		39800		4913
998		P		39960		5591
999		B		39880		5039
1000		B		39920		5106
1001		P		40080		5759
1002		B		40000		5122
1003		B		40040		4992
1004		P		40200		5500
1005		B		40120		4957
1006		B		40160		5226
1007		I		40320		7330
1008		B		40240		5036
1009		B		40280		4224
1010		P		40440		5221
1011		B		40360		5323
1012		B		40400		4713
1013		P		40560		5423
1014		B		40480		4994
1015		B		40520		4649
1016		P		40680		5596
1017		B		40600		4993
1018		B		40640		5070
1019		I		40800		7120
1020		B		40720		4412
1021		B		40760		5030
1022		P		40920		5145
1023		B		40840		4601
1024		B		40880		4524
1025		P		41040		5336
1026		B		40960		4829
1027		B		41000		4672
1028		P		41160		5172
1029		B		41080		4973
1030		B		41120		4577
1031		I		41280		7150
1032		B		41200		4626
1033		B		41240		4919
1034		P		41400		5230
1035		B		41320		4911
1036		B		41360		4471
1037		P		41520		4902
1038		B		41440		4526
1039		B		41480		4663
1040		P		41640		5158
1041		B		41560		4744
1042		B		41600		4819
1043		I		41760		7152
1044		B		41680		4178
1045		B		41720		4823
1046		P		41880		5198
1047		B		41800		4129
1048		B		41840		4662
1049		P		42000		4887
1050		B		41920		4799
1051		B		41960		4735
1052		P		42120		4986
1053		B		42040		4970
1054		B		42080		3961
1055		I		42240		6750
1056		B		42160		4388
1057		B		42200		4388
1058		P		42360		4859
1059		B		42280		4434
1060		B		42320		4255
1061		P		42480		4661
1062		B		42400		4393
1063		B		42440		4241
1064		P		42600		4582
1065		B		42520		4079
1066		B		42560		4145
1067		I		42720		6331
1068		B		42640		4339
1069		B		42680		4074
1070		P		42840		4392
1071		B		42760		3850
1072		B		42800		3785
1073		P		42960		4257
1074		B		42880		3376
1075		B		42920		3898
1076		P		43080		4138
1077		B		43000		3460
1078		B		43040		4087
1079		I		43200		6100
1080		B		43120		4101
1081		B		43160		3870
1082		P		43320		3608
1083		B		43240		3860
1084		B		43280		3646
1085		P		43440		4142
1086		B		43360		3221
1087		B		43400		3921
1088		P		43560		3779
1089		B		43480		3736
1090		B		43520		3903
1091		I		43680		5666
1092		B		43600		3439
1093		B		43640		3641
1094		P		43800		3867
1095		B		43720		3021
1096		B		43760		3488
1097		P		43920		3505
1098		B		43840		3485
1099		B		43880		3063
1100		P		44040		3848
1101		B		43960		3592
1102		B		44000		3135
1103		I		44160		5248
1104		B		44080		3573
1105		B		44120		3004
1106		P		44280		3308
1107		B		44200		3066
1108		B		44240		2766
1109		P		44400		2914
1110		B		44320		2723
1111		B		44360		2831
1112		P		44520		3097
1113		B		44440		2620
1114		B		44480		2965
1115		I		44640		4931
1116		B		44560		2795
1117		B		44600		2825
1118		P		44760		3447
1119		B		44680		2823
1120		B		44720		2809
1121		P		44880		3876
1122		B		44800		3665
1123		B		44840		3506
1124		P		45000		1814
1125		B		44920		1122
1126		B		44960		1101
1127		I		45120		3558
1128		B		45040		1285
1129		B		45080		1161
1130		P		45240		1573
1131		B		45160		1120
1132		B		45200		1510
1133		P		45360		1348
1134		B		45280		1611
1135		B		45320		1427
1136		P		45480		1841
1137		B		45400		847
1138		B		45440		1018
1139		I		45600		3552
1140		B		45520		1239
1141		B		45560		1300
1142		P		45720		1962
1143		B		45640		927
1144		B		45680		972
1145		P		45840		1673
1146		B		45760		1073
1147		B		45800		1416
1148		P		45960		1622
1149		B		45880		961
1150		B		45920		1048
1151		I		46080		3570
1152		B		46000		1379
1153		B		46040		1454
1154		P		46200		1889
1155		B		46120		805
1156		B		46160		848
1157		P		46320		2133
1158		B		46240		1621
1159		B		46280		1651
1160		P		46440		2177
1161		B		46360		1151
1162		B		46400		992
1163		I		46560		3588
1164		B		46480		2001
1165		B		46520		2080
1166		P		46680		2466
1167		B		46600		1087
1168		B		46640		948
1169		P		46800		2659
1170		B		46720		2275
1171		B		46760		2302
1172		P		46920		2206
1173		B		46840		838
1174		B		46880		1201
1175		I		47040		4239
1176		B		46960		2357
1177		B		47000		2377
1178		P		47160		2856
1179		B		47080		897
1180		B		47120		1739
1181		P		47280		3060
1182		B		47200		2401
1183		B		47240		2293
1184		P		47400		2729
1185		B		47320		1254
1186		B		47360		1102
1187		I		47520		4069
1188		B		47440		2169
1189		B		47480		2199
1190		P		47640		2551
1191		B		47560		1587
1192		B		47600		1292
1193		P		47760		2154
1194		B		47680		2187
1195		B		47720		2095
1196		P		47880		2516
1197		B		47800		1104
1198		B		47840		1124
1199		I		48000		4058
1200		B		47920		1960
1201		B		47960		2089
1202		P		48120		2370
1203		B		48040		1264
1204		B		48080		916
1205		P		48240		2123
1206		B		48160		1645
1207		B		48200		1563
1208		P		48360		1877
1209		B		48280		1272
1210		B		48320		1362
1211		I		48480		4038
1212		B		48400		1492
1213		B		48440		1298
1214		P		48600		2085
1215		B		48520		1057
1216		B		48560		873
1217		P		48720		2028
1218		B		48640		1297
1219		B		48680		1470
1220		P		48840		1805
1221		B		48760		1019
1222		B		48800		1183
1223		I		48960		3991
1224		B		48880		1289
1225		B		48920		1111
1226		P		49080		1056
1227		B		49000		1279
1228		B		49040		974
1229		P		49200		900
1230		B		49120		942
1231		B		49160		921
1232		P		49320		1694
1233		B		49240		874
1234		B		49280		890
1235		I		49440		3966
1236		B		49360		1931
1237		B		49400		1745
1238		P		49560		1945
1239		B		49480		783
1240		B		49520		909
1241		P		49680		3166
1242		B		49600		2077
1243		B		49640		2617
1244		P		49800		2410
1245		B		49720		2449
1246		B		49760		1481
1247		I		49920		4377
1248		B		49840		2123
1249		B		49880		2186
1250		P		50040		2483
1251		B		49960		1397
1252		B		50000		1480
1253		P		50160		2856
1254		B		50080		1988
1255		B		50120		2027
1256		P		50280		3001
1257		B		50200		1895
1258		B		50240		1660
1259		I		50400		4781
1260		B		50320		2360
1261		B		50360		2399
1262		P		50520		3390
1263		B		50440		1446
1264		B		50480		1395
1265		P		50640		3333
1266		B		50560		2580
1267		B		50600		2581
1268		P		50760		2930
1269		B		50680		1495
1270		B		50720		1860
1271		I		50880		4645
1272		B		50800		2810
1273		B		50840		2881
1274		P		51000		3178
1275		B		50920		1174
1276		B		50960		1564
1277		P		51120		3151
1278		B		51040		2652
1279		B		51080		2604
1280		P		51240		3254
1281		B		51160		1685
1282		B		51200		1853
1283		I		51360		4537
1284		B		51280		2445
1285		B		51320		2130
1286		P		51480		3061
1287		B		51400		1524
1288		B		51440		1318
1289		P		51600		2658
1290		B		51520		2033
1291		B		51560		2221
1292		P		51720		1896
1293		B		51640		1130
1294		B		51680		1459
1295		I		51840		3680
1296		B		51760		1701
1297		B		51800		1576
1298		P		51960		2145
1299		B		51880		1592
1300		B		51920		1050
1301		P		52080		2162
1302		B		52000		1678
1303		B		52040		1722
1304		P		52200		1965
1305		B		52120		1584
1306		B		52160		1123
1307		I		52320		3644
1308		B		52240		1734
1309		B		52280		1630
1310		P		52440		1957
1311		B		52360		963
1312		B		52400		1490
1313		P		52560		2125
1314		B		52480		1340
1315		B		52520		1387
1316		P		52680		1667
1317		B		52600		940
1318		B		52640		1005
